id_Location,id_Date,Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,Temp9am,Humidity9am,Cloud9am,WindDir9am,WindSpeed9am,Pressure9am,Temp3pm,Humidity3pm,Cloud3pm,WindDir3pm,WindSpeed3pm,Pressure3pm,Location,RainToday,RainTomorrow
Canberra,2024-02-01,2024-02-01,16.0,31.5,0.0,,,W,39.0,17.2,85.0,8.0,NNW,11.0,1013.4,30.8,36.0,,WNW,17.0,1008.1,Canberra,No,No
Canberra,2024-02-02,2024-02-02,11.4,31.1,0.0,,,E,41.0,19.4,62.0,,WSW,6.0,1008.8,30.1,29.0,,NNW,13.0,1005.7,Canberra,No,No
Canberra,2024-02-03,2024-02-03,14.0,30.9,0.0,,,N,33.0,19.4,77.0,7.0,E,7.0,1012.7,29.4,35.0,,NNW,9.0,1008.8,Canberra,No,No
Canberra,2024-02-04,2024-02-04,14.5,32.9,0.0,,,NNW,50.0,21.2,74.0,6.0,SE,9.0,1009.6,31.8,31.0,7.0,NW,20.0,1006.5,Canberra,No,Yes
Canberra,2024-02-05,2024-02-05,19.4,22.5,2.0,,,NNW,41.0,20.8,94.0,8.0,SE,0.0,1009.5,21.5,89.0,8.0,NNW,13.0,1009.4,Canberra,Yes,Yes
Canberra,2024-02-06,2024-02-06,18.2,26.7,30.6,,,E,31.0,20.0,99.0,8.0,ENE,9.0,1010.7,23.3,69.0,8.0,ENE,20.0,1011.0,Canberra,Yes,No
Canberra,2024-02-07,2024-02-07,9.2,23.6,0.2,,,E,39.0,14.9,53.0,,SSE,17.0,1021.2,22.6,51.0,3.0,E,19.0,1019.9,Canberra,No,No
Canberra,2024-02-08,2024-02-08,14.4,23.2,0.0,,,E,37.0,16.8,64.0,7.0,ESE,17.0,1025.1,21.7,47.0,4.0,NE,19.0,1023.1,Canberra,No,No
Canberra,2024-02-09,2024-02-09,8.3,28.8,0.0,,,ENE,37.0,15.0,76.0,,ESE,11.0,1023.0,27.9,32.0,,NE,13.0,1018.8,Canberra,No,No
Canberra,2024-02-10,2024-02-10,14.6,23.5,0.2,,,E,41.0,17.7,64.0,2.0,SE,20.0,1025.3,21.2,57.0,8.0,E,20.0,1023.9,Canberra,No,No
Canberra,2024-02-11,2024-02-11,13.9,27.0,0.8,,,ENE,28.0,16.1,71.0,6.0,ENE,13.0,1023.9,24.0,47.0,,N,13.0,1019.5,Canberra,No,No
Canberra,2024-02-12,2024-02-12,11.2,30.5,0.0,,,NNW,33.0,17.9,80.0,,ENE,0.0,1020.3,29.5,45.0,5.0,NW,15.0,1016.4,Canberra,No,No
Canberra,2024-02-13,2024-02-13,14.3,31.1,0.0,,,W,57.0,22.4,74.0,,N,7.0,1016.6,29.3,44.0,7.0,NW,31.0,1011.2,Canberra,No,Yes
Canberra,2024-02-14,2024-02-14,17.5,26.8,10.0,,,NNW,41.0,19.7,87.0,8.0,NNW,15.0,1011.2,26.6,49.0,,NNW,28.0,1012.2,Canberra,Yes,No
Canberra,2024-02-15,2024-02-15,13.9,21.2,0.2,,,E,31.0,15.3,75.0,8.0,E,9.0,1020.4,19.9,71.0,8.0,ENE,13.0,1019.8,Canberra,No,No
